Id.x,SpsCode,DBH,StreetName,StreetNumber,City
399,BRED,2,BLACKTON DR,4138,La Mesa
421,BRED,2,ACACIA AV,4554,La Mesa
404,BRED,3,VIGO DR,6666,La Mesa
410,BRED,3,SUNRISE AV,8550,La Mesa
403,BRED,3,VIGO DR,6666,La Mesa
407,BRED,3,JESSIE AV,4655,La Mesa
434,BRED,2,EL PASO ST,8280,La Mesa
435,BRED,2,LAKE MURRAY BL,6100,La Mesa
433,BRED,1,IOTA PL,5640,La Mesa
417,BRED,2,DATE AV,4519,La Mesa
446,BRED,3,ZORA ST,5985,La Mesa
400,BRED,3,ROLANDO KNOLLS DR,6709,La Mesa
423,BRED,3,3RD ST,4561,La Mesa
420,BRED,2,ACACIA AV,4558,La Mesa
409,BRED,3,SUNRISE AV,8550,La Mesa
401,BRED,3,ROLANDO KNOLLS DR,6709,La Mesa
413,BRED,3,BUTTE ST,8554,La Mesa
412,BRED,3,PANORAMA DR,4481,La Mesa
432,BRED,1,IOTA PL,5640,La Mesa
406,BRED,3,MAPLE AV,4610,La Mesa
422,BRED,3,ACACIA AV,4544,La Mesa
438,BRED,2,LAKE MURRAY BL,6100,La Mesa
437,BRED,2,LAKE MURRAY BL,6100,La Mesa
447,BRED,2,SUN VALLEY GOLF COURSE,2,La Mesa
436,BRED,2,LAKE MURRAY BL,6100,La Mesa
444,BRED,2,SAMUEL ST,6050,La Mesa
431,BRED,1,IOTA PL,5640,La Mesa
443,BRED,2,SAMUEL ST,6050,La Mesa
445,BRED,3,ZORA ST,5985,La Mesa
405,BRED,3,VIGO DR,6666,La Mesa
440,BRED,2,LAKE MURRAY BL,6100,La Mesa
441,BRED,3,LAKE MURRAY BL,6050,La Mesa
448,BRED,3,EASTRIDGE DR,4245,La Mesa
439,BRED,2,LAKE MURRAY BL,6100,La Mesa
442,BRED,3,LAKE MURRAY BL,6050,La Mesa
427,BRED,2,CHLOE AV,8475,La Mesa
429,BRED,2,CHLOE AV,8485,La Mesa
430,BRED,1,IOTA PL,5640,La Mesa
426,BRED,2,BUCKLAND ST,8486,La Mesa
425,BRED,2,BUCKLAND ST,8486,La Mesa
428,BRED,2,CHLOE AV,8485,La Mesa
452,BUCA,1,ADULT ENRICHMENT CENTER,2,La Mesa
453,BUCA,1,LA MESITA PARK,2,La Mesa
450,BUCA,3,EL TEJADO RD,9463,La Mesa
454,BUCA,1,LA MESITA PARK,2,La Mesa
451,BUCA,3,DATE AV,4604,La Mesa
449,BUCA,3,CARTER PL,7820,La Mesa
455,BUCA,3,PUBLIC WORKS,2,La Mesa
469,CACI,2,EDENVALE AV,4654,La Mesa
472,CACI,1,FORTUNE LN,9330,La Mesa
465,CACI,1,LEE AV,4774,La Mesa
488,CACI,2,KELTON AV,5925,La Mesa
490,CACI,1,PAMPA ST,8760,La Mesa
467,CACI,1,STANFORD AV,7322,La Mesa
466,CACI,3,HOMEWOOD PL,7619,La Mesa
464,CACI,1,COLONY RD,7259,La Mesa
463,CACI,1,68TH ST,4420,La Mesa
471,CACI,2,FORTUNE LN,9330,La Mesa
468,CACI,2,KIMI LN,6370,La Mesa
489,CACI,1,PAMPA ST,8760,La Mesa
470,CACI,2,FLETCHER DR,9350,La Mesa
487,CACI,2,JACKSON PARK,2,La Mesa
491,CACI,1,PAMPA ST,8760,La Mesa
504,CACI,1,CENTER DR,8372,La Mesa
479,CACI,3,JACKSON DR,5300,La Mesa
480,CACI,2,JACKSON DR,5300,La Mesa
502,CACI,1,COLLIER PARK,2,La Mesa
474,CACI,2,ACACIA AV,4558,La Mesa
485,CACI,2,JACKSON PARK,2,La Mesa
478,CACI,1,3RD ST,4560,La Mesa
481,CACI,1,JACKSON DR,5300,La Mesa
486,CACI,2,JACKSON PARK,2,La Mesa
475,CACI,2,ACACIA AV,4561,La Mesa
473,CACI,2,FORTUNE LN,9420,La Mesa
484,CACI,2,JACKSON PARK,2,La Mesa
482,CACI,3,JACKSON PARK,2,La Mesa
476,CACI,3,LEMON AV,8341,La Mesa
477,CACI,2,LEMON AV,8341,La Mesa
483,CACI,2,JACKSON PARK,2,La Mesa
499,CACI,2,MARYLAND AV,5220,La Mesa
501,CACI,3,RAINEY ST,7955,La Mesa
503,CACI,2,CENTER DR,8372,La Mesa
500,CACI,2,MARY FELLOWS AV,5396,La Mesa
462,CACI,1,ROLANDO KNOLLS DR,6729,La Mesa
460,CACI,2,PAULA ST,4015,La Mesa
505,CACI,2,CENTER DR,8372,La Mesa
498,CACI,1,BINNEY PL,8060,La Mesa
495,CACI,1,VINCETTA CT,5436,La Mesa
492,CACI,2,WHITEHEAD PL,8185,La Mesa
459,CACI,2,MARIAN ST,4132,La Mesa
496,CACI,1,VINCETTA CT,5436,La Mesa
461,CACI,1,ROLANDO KNOLLS DR,6729,La Mesa
497,CACI,1,VINCETTA CT,5436,La Mesa
458,CACI,2,CARANCHO ST,3858,La Mesa
494,CACI,1,VINCETTA CT,5436,La Mesa
457,CACI,2,VIOLET ST,4151,La Mesa
493,CACI,1,VINCETTA CT,5436,La Mesa
541,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
