Id.x,SpsCode,DBH,StreetName,City
8191,ALRH,1,Hicks Canyon Bike Trail,Irvine
42337,ALRH,1,,Irvine
18787,ALRH,2,Venta Spur Trail - Btwn Culver And Jeffrey,Irvine
7517,ALRH,1,Bren Park,Irvine
55318,ALRH,1,Heritage Community Park,Irvine
22590,ALRH,1,,Irvine
41143,ALRH,1,,Irvine
5290,ALRH,1,Riparian Corridor,Irvine
56013,ALRH,1,Heritage Community Park,Irvine
43912,ALRH,1,Woodbridge Community Park,Irvine
22681,ALRH,1,,Irvine
38945,ALRH,1,Hicks Canyon Bike Trail,Irvine
2924,ALRH,1,Riparian Corridor,Irvine
27849,ALRH,2,Turtle Rock Community Park,Irvine
34548,ALRH,1,Hicks Canyon Bike Trail,Irvine
6899,ALRH,1,Bren Park,Irvine
35188,ALRH,1,Hicks Canyon Bike Trail,Irvine
22654,ALRH,1,,Irvine
9273,ALRH,1,Hicks Canyon Greenbelt,Irvine
145,ALRH,2,Riparian Corridor,Irvine
38899,ALRH,1,Hicks Canyon Bike Trail,Irvine
30203,ALRH,2,Windrow Community Park,Irvine
1244,ALRH,1,Riparian Corridor,Irvine
42268,ALRH,1,,Irvine
52602,ALRH,1,Citrusglen Park,Irvine
14313,ALRH,1,Hicks Canyon Bike Trail,Irvine
22224,ALRH,1,,Irvine
56974,ALRH,3,Turtle Rock Community Park,Irvine
6000,ALRH,1,Bren Park,Irvine
59701,ALRH,2,University Community Park,Irvine
1111,ALRH,1,Riparian Corridor,Irvine
50410,ALRH,1,Silkwood Park,Irvine
2837,ALRH,1,Riparian Corridor,Irvine
800,ALRH,3,Riparian Corridor,Irvine
2926,ALRH,2,Riparian Corridor,Irvine
18006,ALRH,1,Heritage Community Park,Irvine
40906,ALRH,1,,Irvine
37243,ALRH,6,Hicks Canyon Bike Trail,Irvine
35334,ALRH,1,Hicks Canyon Bike Trail,Irvine
31232,ALRH,2,Windrow Community Park,Irvine
12186,ALRH,1,Hicks Canyon Bike Trail,Irvine
22223,ALRH,1,,Irvine
5344,ALRH,2,Riparian Corridor,Irvine
30896,ALRH,2,Windrow Community Park,Irvine
30895,ALRH,2,Windrow Community Park,Irvine
1095,ALRH,1,Riparian Corridor,Irvine
41038,ALRH,1,,Irvine
12207,ALRH,1,Hicks Canyon Bike Trail,Irvine
88,ALRH,2,Riparian Corridor,Irvine
2936,ALRH,1,Riparian Corridor,Irvine
13762,ALRH,1,Hoeptner Park,Irvine
12213,ALRH,1,Hicks Canyon Bike Trail,Irvine
12631,ALRH,2,Hoeptner Park,Irvine
1121,ALRH,1,Riparian Corridor,Irvine
42246,ALRH,1,,Irvine
12275,ALRH,1,Hicks Canyon Bike Trail,Irvine
12208,ALRH,1,Hicks Canyon Bike Trail,Irvine
58677,ALRH,1,Pinewood Park,Irvine
468,ALRH,1,Riparian Corridor,Irvine
53064,ALRH,1,Citrusglen Park,Irvine
7637,ALRH,1,Citrusglen Park,Irvine
10276,ALRH,1,(02) Hicks Canyon Wash WR (South),Irvine
42293,ALRH,1,,Irvine
6193,ALRH,2,Bren Park,Irvine
676,ALRH,3,Riparian Corridor,Irvine
12112,ALRH,1,Hicks Canyon Bike Trail,Irvine
55389,ALRH,2,Flagstone Park,Irvine
1417,ALRH,3,Turtle Rock Community Park,Irvine
52638,ALRH,1,Citrusglen Park,Irvine
35169,ALRH,1,Hicks Canyon Bike Trail,Irvine
22682,ALRH,1,,Irvine
42207,ALRH,1,,Irvine
38060,ALRH,1,Hicks Canyon Bike Trail,Irvine
60909,ALRH,1,Turtle Rock Community Park,Irvine
53231,ALRH,1,Valencia Park,Irvine
10995,ALRH,1,Hicks Canyon Bike Trail,Irvine
27746,ALRH,2,Turtle Rock Community Park,Irvine
42671,ALRH,1,,Irvine
53948,ALRH,1,Flagstone Park,Irvine
23585,ALRH,1,,Irvine
23537,ALRH,1,,Irvine
34669,ALRH,1,Hicks Canyon Bike Trail,Irvine
42274,ALRH,1,,Irvine
22583,ALRH,1,,Irvine
27659,ALRH,2,Turtle Rock Community Park,Irvine
188,ALRH,1,Riparian Corridor,Irvine
